S.No,Statename,TimeStamp,NEWS SECTION,PLACE,NEWS HEADER,NEWS CONTENT
10,Andhra Pradesh,"March 24, 2020 01:22 IST",Andhra Pradesh,VIJAYAWADA,"Aqua units will not be shut, says Minister","Marketing Minister Mopidevi Venkataramana has brushed aside the rumours that the aqua sector would be closed down due to the coronavirus threat. At a press conference at the Secretariat on Monday, he said aqua processing units were not being shut down but instructions were given to the officials concerned to see that the farmers working in the units were not be affected by the coronavirus.The aqua and poultry sectors were reeling under the impact of the coronavirus. The aqua sector has three primary divisions – seed, feed and processing management. India occupies the second place after China in terms of exports to European countries and Andhra Pradesh contributes a major part of it. Exports from the State commenced 10 days ago. The State government was taking all possible measures to save the aqua sector. The officials concerned were asked to ensure that the aqua farmers did not incur losses due to delay in transportation of the produce.The District Collectors, police, transport and check-post officials were asked to see that there was no hurdle in the transportation of aqua products. The farmers need not panic, he added."
11,Andhra Pradesh,"March 25, 2020 01:03 IST",Andhra Pradesh,GUNTUR,Police move in to impose lockdown in Guntur,"Desolate roads, men in khaki patrolling the streets and a handful of commuters. Day Two of the lockdown witnessed a near shutdown of the district to prevent the spread of COVID-19. As the police began to barricade roads, deploy more personnel, the lockdown had people confined to their homes. All commercial establishments, shops, educational institutions remained closed. Banks functioned with skeletal staff till 2 p.m. and fuel stations also operated with skeletal staff.The day began on a brisk note with people lining up before the markets to buy vegatables, milk and other essential commodities. By 7 a.m., the police were on the streets asking people not to venture further.District Collector I. Samuel Ananda Kumar said prohibitory orders would be in place under Section 144 of the Cr.P.C until further orders. The Guntur Urban Police erected check-posts at major points. Superintendent of Police PHD Ramakrishna said that 123 persons had been booked under Section 188 IPC, 107 autos were seized and 14 cases were registered against those violating prohibitory orders. The police seized 298 two wheelers, 66 autos and four cars.The police appealed to the people to complete their chores between 6 a.m. and 9 a.m. and said that all shops should be closed by 8 p.m. The police also said that it was illegal for any one to travel in groups in cars. The police also directed all lodge owners to close down their establishments until further orders."
12,Andhra Pradesh,"March 25, 2020 23:16 IST",Vijayawada,CHITTOOR,Lockdown: Chittoor police turn Samaritans,"Though there was hardly any sign of celebration of Ugadi in Chittoor town on Wednesday under the shadow of COVID-19 lockdown, the Chittoor police swung into action to celebrate the auspicious occasion in a unique way – caring the hungry and have-not's caught in lockdown effect at public places.After the announcement of 21-day nation-wide lockdown, Superintendent of Police S. Senthil Kumar hit upon a humanitarian idea to help the destitute and elderly moving in public places to overcome the pangs of hunger on the Ugadi festival. It was immediately put into action.The voluntary organisations, operating old age homes and doing charity works, were contacted, seeking their cooperation for the noble cause. In Chittoor, the Amma Vodi ashram and some youth of Lalu Gardens locality could prepare food packets of sambar rice, pulihora, and curd rice for distribution to about 500 persons. As Ugadi special, vada and sweet were added to the food. Deputy SP (Chittoor) K. Eeshwar Reddy and Chittoor II-Town Circle Inspector P. Yugandar launched the distribution at noon at the new APSRTC bus station, private bus station, surroundings of railway station and at corners of some of the arterial junctions in Chittoor. The police personnel and volunteers could spot the sick and destitute persons and elderly under helpless conditions and distributed food packets and water sachets to them. The beneficiaries, several of whom have been hungry since a couple of days, were overwhelmed at the gesture.At Puttur, Deputy SP D. Muralidhar and his team prepared food packets for about 300 persons and distributed them to the destitute and elderly at public places. Apart from Puttur, the gesture covered the target group in Nagari, Karveti Nagaram, Nindra, and Satyavedu circles. Similar activity from the police in cooperation with the public groups was conducted at Palamaner and Madanapalle sub-divisions.Activity to continueMeanwhile, the SP sought the police at their respective divisions to consider making arrangements to provide safe shelter to the destitute and elderly stranded at public places in view of the lockdown. The SP said that the police would continue distribution of food packets to the needy till the corona threat subsides."
13,Andhra Pradesh,"March 25, 2020 23:14 IST",Andhra Pradesh,K. UmashankerCHITTOOR,Sanitation worker bats for total lockdown in Chittoor,"Despite facing several problems on the domestic and work front, R. Balakrishna aka Bala (28), an outsourced sanitation worker of Puttur municipality in Chittoor district, takes pride in working for the success of the COVID-19 lockdown, in addition to his regular work. Mr. Balakrishna collects garbage door-to-from over 300 houses in Aretamma Colony of Puttur. Though he did his Intermediate, poverty forced him to join as an outsourced civic worker seven years ago. Waste collection, which started as a job, gradually turned into a habit. “When I embark on work each day, I feel that I form the first ring of protection for the people of my colony,” he said.When viral fevers like dengue and typhoid gripped the western mandals in recent years, Mr. Bala was known for his concerted efforts to keep the colony clean. He was largely successful in making women to keep the waste basket on their compound walls before going to bed. A couple of weeks ago, a family that returned from abroad arrived into the colony and was quarantined. Seeing them moving freely, Mr. Bala kept educating them to follow the norms of quarantine. He even urges people to avoid sending their children to play in the streets. Mr. Bala say the sudden lockdown due to COVID-19 had depressed him. “But, I strongly support this. When this pandemic will die, the people would realise the importance and meaning of the lockdown. It will give them a strong sense of discipline, particularly to children,” he said.The Puttur municipality is facing acute shortage of sanitary workers, with about 20% of them on leave on any given day. “My wife is going to give birth to a child next month. I earn ₹400 a day. In order to support my family, I hardly take leave,” he says.Vijayalakshmi (70), a resident of the colony, said that during lockdown there is a possibility of garbage piling up and waste produced would also double due to increase in cooking. “A worker like Bala is an asset to our colony. We always stay assured that our area is free from all illnesses due to mosquitoes. At this critical time of lockdown, his urge to see people strictly inside homes is laudable,” she said."
14,Andhra Pradesh,"March 25, 2020 23:34 IST",Visakhapatnam,VISAKHAPATNAM,147 vehicles seized in a day,The district police have booked cases against 165 persons under Section 188 of Indian Penal Code (IPC) on charge of violating the lockdown orders by moving on roads for no reason and opening of non-essential stores in the rural police station limits.The police teams also seized 147 vehicles. Rural SP Attada Babujee inspected Anakapalle Town. He urged people not stay at home during the lockdown period. He also said that a number of check-posts have been arranged at various points.It may be recalled that the police booked about 134 cases on March 24.
15,Andhra Pradesh,"March 25, 2020 23:24 IST",Visakhapatnam,VISAKHAPATNAM,COVID-19 threat mars Ugadi celebrations in Vizag,"The complete lockdown in view of the coronavirus threat took the sheen of Ugadi celebrations in the city on Wednesday.As all temples remained closed, vehicle buyers performed pujas on their own, in the absence of priests. Though all vehicle shops have downed their shutters now, people who bought vehicles before the lockdown hoped to perform puja on the auspicious day for Ugadi is the first festival in the Telugu almanac.Vehicle owners and their family members were seen parking their new bikes and cars on the roads near Sri Sampath Vinayaka temple at Asilametta and perform puja as the otherwise busy stretches had no vehicular traffic in view of the lockdown. Meanwhile, the Telugu New Year celebrations turned out to be low-key affair at households, despite all family members being home. Scarcity of neem flowers, the main ingredient for ‘Ugadi Pachadi’, at rythu bazaars and the high prices dampened the festival spirit.‘Panchanga Sravanam’ There was no mass gathering for ‘Panchanga Sravanam’ (reading of almanac). However, scholars read out what is in store for different persons, based on their birth stars, for the entire year. The Ugadi greetings were remained confined to social media platforms as people wished their near and dear ones on WhatsApp. The restrictions on the movement of vehicles and social distancing norms also robbed the festival of its charm as a majority of the people seemed to have understood the gravity of the COVID-19 threat. The police sent WhatsApp messages urging people either to stay at home."
16,Andhra Pradesh,"March 26, 2020 23:14 IST",Visakhapatnam,VISAKHAPATNAM,Chaos at Vizag fishing harbour as 15 boats return with catch,"Even as lockdown has been enforced owing to COVID-19 threat, chaotic scenes were witnessed at the fishing harbour in the city on Thursday.As many as 15 mechanised boats with fresh loads of fish returned to the shore. The boats had good catch of tuna, mackerel, goat fish and silver bellies fish. Retail traders thronged the fishing harbour, not bothering about the lockdown. An utter chaos prevailed at the auction centre with fishermen and traders engaging in heavy bargaining, throwing the social distancing norms to the wind. The personnel of State police and marine police, and the officials of Fisheries Department and Visakhapatnam Port Trust (VPT) had to intervene to contain the situation.The officials, along with a large posse of police force rushed to the spot and held talks with Andhra Pradesh Mechanised Boat Operators’ Association and other organisations to hammer out a solution. Sale allowed from 6 a.m. to 9 a.m.  Finally, it was resolved that the authorities will permit sale of fish from 6 a.m. to 9 a.m. daily, after convincing the boat owners to use ice to enhance the shelf life of their catch.Incidentally, the lockdown led to the closure of restaurants, hotels and exports by bulk purchasers, and the fishermen are forced to lower the prices to clear the stock.Joint Director of Fisheries K. Phaniprakash told The Hindu that with the return of 15 boats, almost all vessels which went on a voyage from Visakhapatnam towards Gopalapatnam and Paradip to catch tuna and other fish have come to the jetty.Assistant Director of Fisheries P. Lakshman Rao said that due to the 21-day lockdown, there were no takers for hotel, restaurants and exports."
17,Andhra Pradesh,"March 26, 2020 23:11 IST",Visakhapatnam,VISAKHAPATNAM,IGNOU closes regional study centres,"Indira Gandhi National Open University (IGNOU) has announced closure of all its regional centres and study centres during the 21-day lockdown enforced from March 25 owing to the COVID-19 threat. The last date for submission of assignments and the last date to apply for examinations without late fee have also been extended till April 30, IGNOU Regional Director S. Raja Rao has said. Even as no student support activities will be available at the study centres, all the officers of IGNOU and other staff members will be working from home during the lockdown period. IGNOU has already suspended all activities at its Learner Support Centres.Mr. Raja Rao has urged the IGNOU learners not to visit the study centres or regional centres during the lockdown period. He advised them to use RC email id (rcvisakhapatnam@ignou.ac.in) and IGRAM portal through IGNOU website (www.ignou.ac.in) and Facebook channel of regional centre (https://www.facebook.com/rc.vizag) for any support and queries.He requested the students to go through the details of various online services such as Gyandhara, Gyan Vani, Gyan Darshan and etc which are available in the IGNOU website."
18,Andhra Pradesh,"March 26, 2020 22:58 IST",Andhra Pradesh,VIJAYAWADA,No curbs on essential services/commodities,"The State government notified the following list of essential services/ commodities, transport services, shops dispensing such items and movement of staff/employees related thereto exempted during the lockdown necessitated by the COVID-19, according to a GO issued by Chief Secretary Nilam Sawhney.The exempted services / commodities are vegetables, fruits, milk and dairy products, eggs, poultry, meat and fish, groceries, Public Distribution System through fair price shops, fodder, cattle feed and aqua feed and ingredients, drinking water (RO/mineral) and water tankers, bread and biscuits and bulk drugs and pharmaceuticals and drug formulations (medicines).Masks and sanitisers, medical equipment and supplies, health services and medical shops and veterinary services, petroleum products, including LPG, CNG, furnace oil, petrol, diesel, aviation fuel, ethanol etc., rice, dal and oil mills, loading, dispatch and unloading of food grains from all warehouses and Internet and telecom service providers and their agencies.Post offices, banks and ATMs, insurance companies, stock articles required for procurement of food grains/vegetables/fruits such as tarpaulins, gunnies, polythene, crates, fumigants etc., e-commerce platforms such as Amazon and Flipkart and food delivery platforms such as Swiggy and Zomato."
19,Andhra Pradesh,"March 26, 2020 22:57 IST",Andhra Pradesh,VIJAYAWADA,"All sittings of High Court, subordinate courts and tribunals cancelled","The sittings of the High Court of Andhra Pradesh and all the subordinate courts and tribunals under its control, the A.P. State Legal Services Authority, the Mediation and Arbitration Centre and High Court Legal Services Committee are cancelled with immediate effect due to the lockdown necessitated by the spread of COVID-19. The judicial and administrative work in the High Court has been suspended up to April 14, according to an official release.However, urgent cases in the High Court will be heard by Benches constituted for the purpose only with the prior approval of the Chief Justice, for which the advocates/parties-in-person have to contact the registrar (judicial) ON telephone or through his official email id regjudaphc@nic.inThe receiving of FIRs, grant of judicial remand, bails, accepting of solvencies, dying declarations etc. by judicial magistrates of I-class will be done from their home offices. Clarifications in this regard have to be obtained from the respective principal district judges. The judicial officers and staff members are deemed to be on duty and work from home and are advised to make themselves available as and when required and not leave headquarters during the aforesaid period without permission."
20,Andhra Pradesh,"March 26, 2020 23:35 IST",Visakhapatnam,VISAKHAPATNAM,VIMS designated as regional COVID-19 isolation centre,"The government has identified four hospitals in the State including Visakha Institute of Medical Sciences (VIMS) in the city as COVID-19 isolation centres, Collector V. Vinay Chand said on Thursday.“The VIMS has been designated as the regional COVID-19 isolation centre for four districts of Visakhapatnam, Vizianagaram, Srikakulam and East Godavari. If any case is reported in these districts, the patients will be shifted to VIMS,” said the Collector after visiting the VIMS and asked the officials to arrange the necessary staff. VIMS will be made a dedicated COVID-19 treatment centre with 400-bed facility within a week. Additional manpowerVIMS Director K. Satya Varaprasad told The Hindu that they were offering quarantine facility to relatives and acquaintances of Stage 1 and 2 COVID-19 patients at present. “The State government has sanctioned a premier COVID-19 testing centre at VIMS. We have already initiated measures to acquire 400 ventilators and additional manpower to take care of the patients,” he said.At present, isolation facility is available at King George Hospital (KGH) and Government Hospital for Chest and Communicable Diseases, but to only a limited number in the city. Testing to diagnose the positive cases is being done in Kakinada and Tirupati. Treatment for those diagnosed positive is being rendered by Government Hospital for Chest and Communicable Diseases. “It is a challenging situation to prevent community transmission as Stage 2 cases have already been confirmed in the city. Of the 400 beds, 100 will be earmarked to treat patients in isolation. We are hopeful of getting 50 to 100 ventilators in the next few days,” said Dr. Varaprasad."
21,Andhra Pradesh,"March 26, 2020 23:29 IST",Visakhapatnam,VISAKHAPATNAM,Big Basket to deliver groceries at doorstep of customers,"Joint Collector L. Shiva Shankar has asked the police to ensure hassle-free movement of vehicles transporting essential commodities. Speaking at a meeting with wholesale dealers and officials concerned from various departments at VUDA Childrens Arena, Mr. Shiva Shankar asked Deputy Commissioner of Police (Law & Order-I) S. Ranga Reddy to pass the instructions to all policemen in the district not to stop any vehicles carrying essential goods. Representatives of the Big Basket informed the JC that their delivery executives were not being allowed to deliver groceries. In response, Mr. Shiva Shankar asked the police officials to allow the Big Basket delivery executives to deliver goods from 6 a.m. to 6 p.m. He also asked the GVMC officials to issue identity cards for the delivery persons.Managements from several oil companies brought to the notice of the Joint Collector that seven oil companies in the city were facing issues during transportation. Agreeing for the transport of such goods, the DCP asked the oil company managements to ensure that all their drivers did not allow to board passengers in the vehicles. Mr. Shiva Shankar asked the officials to check the supply of sanitisers, masks and to medicine stores. He asked the drug inspectors to take action if the shopkeepers were found selling medicine at higher prices."
22,Andhra Pradesh,"March 26, 2020 23:17 IST",Visakhapatnam,VISAKHAPATNAM,Number of rythu bazaars in Vizag to be increased to 32,"In an attempt to ensure smooth supply of vegetables and maintaining the social distancing norms during the lockdown period enforced in the wake of COVID-19, the district administration has decided to increase the number of rythu bazaars from 14 to 32 in the city limits.“Maintaining the social distancing norms while purchasing vegetables in a particular time frame is a daunting task. So, we have decided to increase the number of rythu bazaars from 14 to 32,” Tourism Minister Muttamsetti Srinivasa Rao said on Thursday.All school grounds and open places will the taken over to set up vegetable stalls and this plan will be effective in the next two days. “The move will help all to maintain the social distancing protocol,” the Minister said.Addressing the issue of farmers who are not being able to transport the vegetables to markets due to the lockdown, Mr. Srinivasa Rao said the police have been instructed to give a free passage to all vehicles carrying essential commodities including vegetables.“We have also asked the APSRTC to ply a few buses to help farmers transport the stock to markets,” he said.The ryhtu bazaar estate officers have been instructed to issue passes to farmers and the entire system will be monitored by Joint Collector-II L. Shiva Shankar, he added.The Minister, after visiting the MVP market, said there is no shortage of essential commodities and the shortcomings in the logistic chain is being addressed. “All markets will remain open from 6 a.m. to 1 p.m. daily,” he said.The Poorna Market and Kancharapalem market are also being located to spacious grounds. Price chart must “Many stalls from Poorna Market have already been moved to the Corporation Stadium in the Old Town area,” said Mr. Srinivasa Rao.The Tourism Minister said price charts will be put up at all vegetable counters in rythu bazaars to ensure that vegetables are not sold for high prices."
